population	type	chromosome	region	rate	newreg
F1	inversion	7	Inv-Adjacent	1.36	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	1.32	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	1.3	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	1.06	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	1.01	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	0.9	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	0.83	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	0.8	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	0.8	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	0.78	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	0.77	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	0.72	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	0.68	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	0.8	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	0.81	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	0.81	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	0.83	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	0.9	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	0.96	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	1.04	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	1.37	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	1.67	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	1.76	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	1.9	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	2.16	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	2.21	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	2.29	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	2.65	Inv-Adjacent
